hand,value,handtype,score
"('06H', '13C', '13H')",28.06,1,976968.0
"('06H', '13C', '13S')",28.06,1,976968.0
"('06H', '13D', '13H')",28.06,1,976968.0
"('06H', '13D', '13S')",28.06,1,976968.0
"('06H', '13H', '13S')",28.06,1,976968.0
"('06S', '13C', '13D')",28.06,1,976968.0
"('06S', '13C', '13H')",28.06,1,976968.0
"('06S', '13C', '13S')",28.06,1,976968.0
"('06S', '13D', '13H')",28.06,1,976968.0
"('06S', '13D', '13S')",28.06,1,976968.0
"('06S', '13H', '13S')",28.06,1,976968.0
"('05C', '13C', '13D')",28.05,1,975882.0
"('05C', '13C', '13H')",28.05,1,975882.0
"('05C', '13C', '13S')",28.05,1,975882.0
"('05C', '13D', '13H')",28.05,1,975882.0
"('05C', '13D', '13S')",28.05,1,975882.0
"('05C', '13H', '13S')",28.05,1,975882.0
"('05D', '13C', '13D')",28.05,1,975882.0
"('05D', '13C', '13H')",28.05,1,975882.0
"('05D', '13C', '13S')",28.05,1,975882.0
"('05D', '13D', '13H')",28.05,1,975882.0
"('05D', '13D', '13S')",28.05,1,975882.0
"('05D', '13H', '13S')",28.05,1,975882.0
"('05H', '13C', '13D')",28.05,1,975882.0
"('05H', '13C', '13H')",28.05,1,975882.0
"('05H', '13C', '13S')",28.05,1,975882.0
"('05H', '13D', '13H')",28.05,1,975882.0
"('05H', '13D', '13S')",28.05,1,975882.0
"('05H', '13H', '13S')",28.05,1,975882.0
"('05S', '13C', '13D')",28.05,1,975882.0
"('05S', '13C', '13H')",28.05,1,975882.0
"('05S', '13C', '13S')",28.05,1,975882.0
"('05S', '13D', '13H')",28.05,1,975882.0
"('05S', '13D', '13S')",28.05,1,975882.0
"('05S', '13H', '13S')",28.05,1,975882.0
"('04C', '13C', '13D')",28.04,1,974796.0
